prompt,completion
Generate a Biology multiple choice question:,The conversion of pyruvate to Acetyl Co-A occurs: W) in the cytosol X) in the ER Y) in the mitochondrion Z) in the lysosome
Generate a Math short answer question:,What is the degree of the following monomial: –6x2y4z3
Generate a Math short answer question:,Find the number of sides in a regular polygon if each interior angle measures 176 degrees:
Generate a Earth science multiple choice question:,Which of the following is LEAST accurate regarding paleontology: W) endothermic mammals thrived during the Cenozoic Era X) the fossil records of birds is poor because of their thin bones and lack of teeth Y) the mastodon was a Proboscidian mammal of the Cenozoic Era Z) trilobites are an important index fossil of the Mesozoic Era
Generate a Earth science multiple choice question:,"Deposited by subglacial streams, ridges of sand and gravel that form beneath the ablation zone of a glacier are called: W) cirques X) eskers Y) horns Z) kames"
Generate a Physics multiple choice question:,"Which of the following is generally NOT true regarding diffraction of light: W) when white light is passed through a diffraction grating, shorter wavelengths are diffracted the most X) diffraction is wavelength dependent Y) if laser light is passed through a diffraction grating it will produce an interference pattern as a series of dots on a screen Z) white light passing through a diffraction grating is spread into a rainbow of colors"
Generate a Physics short answer question:,"A 300-newton box is placed on an inclined plane that makes a 45º angle with the horizontal. Find the component of the box’s weight parallel to the plane’s surface, in newtons to the nearest whole number:"
Generate a Chemistry multiple choice question:,Dalton’s gas law applies primarily to: W) non-ideal gases X) gas mixtures Y) density of gases Z) molar mass of gas
Generate a Chemistry multiple choice question:,The oxidation number of oxygen is –1 in: W) normal oxides X) peroxides Y) superoxides Z) lithium oxide
Generate a Biology multiple choice question:,"According to the 3 domain system of classification with the 3 domains being, Archaea, Bacteria and Eukarya, which of the following would be LEAST likely to belong to the domain Bacteria: W) chlamydia X) spirochetes (read as: spy-row-keets) Y) gram positive bacteria Z) non-nucleated thermophiles"
Generate a Biology multiple choice question:,In which of the following does the RUBISCO enzyme play a central role: W) Photosystem One X) Electron Transport Y) Photosystem Two Z) Calvin Cycle
Generate a Math short answer question:,"Giving your answer in simplest radical form, rationalize the denominator 1 of the following expression: (3− x) 3+ x"
Generate a Math short answer question:,"Solve the following equation for x over the set of complex numbers, giving your answer in simplest form: x2 – 10x + 34 = 0"
Generate a Earth science multiple choice question:,A hurricane originating in the Eastern tropical Atlantic is driven westward by: W) the intertropical convergence zone X) the prevailing westerlies Y) the easterly trade winds Z) the doldrums
Generate a Earth science multiple choice question:,Which of the following is NOT a silicate: W) mica X) galena Y) olivine Z) potassium feldspar
Generate a Physics short answer question:,The lens-maker’s equation relates the focal length of a glass lens to the radii of curvature of the lens’s two surfaces and what other property of the lens?
Generate a Physics short answer question:,"Green light has a wavelength of 500 nanometers. What is its associated frequency, in hertz?"
Generate a Chemistry short answer question:,"A molecule that contains 4 carbon-hydrogen single bonds and one carbon-carbon double bond contains how many sigma and pi bonds, respectively?"
Generate a Chemistry short answer question:,What is the systematic IUPAC name for the compound RbClO ? 4
Generate a Biology short answer question:,"Animal tissues are generally divided into four main types. If three of them are, connective, nervous, and muscle, what is the fourth tissue?"
Generate a Biology short answer question:,"Order the following 4 choices from the SMALLEST to the LARGEST, assuming average size for each: erythrocyte; mitochondrion; polio virus; macrophage"
Generate a Chemistry short answer question:,What is the pH of a solution having a hydroxide ion concentration of 1 × 10–5 M?
Generate a Chemistry short answer question:,"At standard temperature and pressure, if a sample of argon has a volume of 67 liters, how many moles of argon are in the sample, to the nearest whole number?"
Generate a Math short answer question:,x y 1) MATH Short Answer What is the minimum possible value of 2 + 2 (read as: 2 to the power of x plus 2 to the power of y) if x + y = 2?
Generate a Math short answer question:,1 1 1 1 1) MATH Short Answer What is the value of the infinite sum: - + - +… (read as: 1 over 2 2! 3! 4! 5! factorial minus 1 over 3 factorial plus 1 over 4 factorial minus 1 over 5 factorial and so on)? 1
Generate a Biology multiple choice question:,Which of the following is a laboratory technique used to generate many copies of a gene? W) Polymerase (read as: poh-LIM-eh-rayz) chain reaction X) Gel electrophoresis (read as: i-lehk-trōe-foh-REE-sis) Y) Southern blot Z) Titration
Generate a Biology short answer question:,"By name or number, identify all of the following four organisms that are endangered pinnipeds: 1) bearded seal, 2) Hawaiian monk seal, 3) ringed seal, 4) spotted seal."
Generate a Energy multiple choice question:,"Biodiesel generally outperforms regular petro diesel in all of the following categories, EXCEPT: W) Cetane rating X) Flash point Y) Calorific value Z) Sulfur content"
Generate a Energy short answer question:,"The backup controls for a solar cell operate on a 4-volt lithium ion battery with resistance of 20 ohms and an initial capacity of 3000 milliampere hours. In watt hours, what is the electrical energy required to recharge the battery?"
Generate a Physics short answer question:,"A 4-kilogram ball is tossed at 5 meters per second. How fast, in meters per second, must a 1-kilogram ball be thrown to have the same kinetic energy?"
Generate a Physics short answer question:,"A jogger is moving at a speed of 4 meters per second. When chased by a big dog, she accelerates at 1 meter per second squared for 4 seconds. How far has she travelled in meters since she started accelerating?"
Generate a Biology short answer question:,"What is the term for the pastelike substance, which is also the least soluble nitrogenous waste, excreted by birds, reptiles, and insects?"
Generate a Biology short answer question:,What is the scientific name of the only member of the family Eschrichtiidae (read as: esh-rik-TIE-uh-dee)?
Generate a Math short answer question:,Consider the polar equation r = sin(2θ) (read as: r equals the sine of 2 theta). Its graph looks like a rose. How many petals would there be on the “rose” in this graph?
Generate a Math short answer question:,"Assuming that the probability of A is 0.3, the probability of B is 0.3, and the probability of A union B is 0.5, providing your answers as decimals to the nearest tenth, what are the probabilities, respectively, of A intersection B and the complement of the quantity A union B?"
